point type,Lat,Lon
start ,52.14519,-0.46857
start ,52.15465,-0.50414
start ,52.14157,-0.50733
start ,52.1098,-0.53234
start ,52.14136,-0.50794
start ,52.14216,-0.44157
start ,52.14169,-0.50724
start ,52.14982,-0.46059
start ,52.14039,-0.50863
start ,52.01297,-0.69799
start ,52.01282,-0.69806
start ,46.97462,4.78136
start ,52.14107,-0.50691
start ,52.14094,-0.50942
start ,52.14063,-0.506
start ,52.1414,-0.50754
start ,52.14117,-0.50733
start ,52.14141,-0.50754
start ,47.04473,4.80686
start ,47.00886,4.79493
start ,46.97438,4.78104
start ,47.02623,4.82808
start ,46.82189,1.25545
start ,46.97458,4.78115
start ,46.97446,4.78108
start ,46.97462,4.78136
start ,47.02253,4.83691
start ,47.13771,4.84433
start ,52.14195,-0.50866
start ,46.96943,4.68372
start ,52.14593,-0.46796
start ,52.14111,-0.50797
start ,52.14173,-0.50788
start ,52.14109,-0.50758
start ,52.14159,-0.50767
start ,52.14136,-0.50768
start ,52.14095,-0.50783
start ,52.14139,-0.50767
start ,52.1413,-0.50746
start ,48.84497,2.37689
start ,47.33998,4.78572
start ,46.37861,4.84561
start ,44.85468,4.86641
start ,44.58497,4.62739
start ,46.97467,4.78111
start ,48.88064,2.35613
start ,52.14127,-0.50791
start ,46.90191,4.70804
start ,52.1415,-0.50784
end,46.94801,4.7077
end,47.00932,4.79423
end,46.90857,4.68608
end,46.97453,4.78122
end,52.14149,-0.50757
end,52.14144,-0.50759
end,52.14149,-0.50755
end,46.90226,4.75255
end,47.14461,4.93717
end,45.35332,5.91646
end,45.3041,5.87881
end,45.30406,5.87878
end,45.30408,5.87876
end,45.30406,5.87881
end,45.30405,5.87883
end,46.98202,4.76472
end,46.98232,4.76452
end,46.87172,4.74188
end,52.14152,-0.50759
end,45.54792,5.93684
end,46.95064,4.72567
end,47.07973,4.84885
end,52.14136,-0.50737
end,52.14149,-0.50755
end,52.1415,-0.50764
end,52.14149,-0.50757
end,52.14144,-0.50758
end,52.14143,-0.50754
end,52.14146,-0.50758
end,52.14088,-0.50707
end,52.14055,-0.50778
end,52.1415,-0.50759
end,52.14147,-0.50755
end,52.14147,-0.50764
end,52.14145,-0.50758
end,52.14146,-0.50753
end,52.14147,-0.50756
end,52.14157,-0.50753
end,52.14148,-0.50748
end,52.14151,-0.50756
end,52.14143,-0.50759
end,52.14146,-0.50752
end,52.14141,-0.50762
end,46.98206,4.71157
end,52.14555,-0.41929
end,47.05144,4.77213
end,46.97827,4.74887
end,46.97466,4.7813
end,46.97842,4.74858
end,46.9746,4.78118
end,46.98303,4.64438
